Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,"39,917",292.278,0.09346
2,NEW ENGLAND JOURNAL OF MEDICINE,"347,451",74.699,0.6608
3,Nature Reviews Materials,"12,657",71.189,0.0528
4,NATURE REVIEWS DRUG DISCOVERY,"33,154",64.797,0.04917
5,LANCET,"256,199",60.392,0.4373
6,WHO Technical Report Series,"3,560",59,0.0012
7,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"46,307",55.47,0.08232
8,Nature Reviews Clinical Oncology,"12,384",53.276,0.03598
9,NATURE REVIEWS CANCER,"52,053",53.03,0.06603
10,CHEMICAL REVIEWS,"200,014",52.758,0.27119
11,Nature Energy,"17,747",46.495,0.0672
12,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"158,632",45.54,0.29005
13,REVIEWS OF MODERN PHYSICS,"51,122",45.037,0.05169
14,CHEMICAL SOCIETY REVIEWS,"150,703",42.846,0.22923
15,NATURE,"767,209",42.778,1.21673
16,SCIENCE,"699,842",41.845,1.02266
17,Nature Reviews Disease Primers,"7,567",40.689,0.03231
18,World Psychiatry,"6,486",40.595,0.01713
20,NATURE REVIEWS IMMUNOLOGY,"42,168",40.358,0.06847
21,NATURE MATERIALS,"99,502",38.663,0.15846
22,CELL,"258,178",38.637,0.56497
23,NATURE BIOTECHNOLOGY,"63,979",36.558,0.15664
24,NATURE MEDICINE,"85,220",36.13,0.16873
25,Living Reviews in Relativity,"3,074",35.429,0.00507
26,Nature Reviews Chemistry,"3,209",34.953,0.01398
27,NATURE REVIEWS MICROBIOLOGY,"32,027",34.209,0.0522
28,LANCET ONCOLOGY,"53,592",33.752,0.14342
29,NATURE REVIEWS NEUROSCIENCE,"42,809",33.654,0.0554
30,NATURE REVIEWS GENETICS,"37,390",33.133,0.07032
31,Annual Review of Astronomy and Astrophysics,"12,446",32.963,0.01568
32,JOURNAL OF CLINICAL ONCOLOGY,"155,297",32.956,0.26194
33,PROGRESS IN MATERIALS SCIENCE,"17,409",31.56,0.02091
34,Nature Nanotechnology,"65,923",31.538,0.14075
35,Nature Photonics,"45,057",31.241,0.10024
36,NATURE METHODS,"72,483",30.822,0.20562
37,Nature Catalysis,"3,787",30.471,0.01406
38,Energy & Environmental Science,"86,899",30.289,0.15883
39,BMJ-British Medical Journal,"118,586",30.223,0.14517
