	VISTA	CD14	CD163	CD19	PDL1	CD4	CD68	CD8	FOXP3	CD11b	CD20	CD56	PD1	S100A4	SMA	TIGIT
TCGA-CS-4938_1	1740.7174	2756.4506	115.3765	1.2587	15.9429	1106.3562	3104.2584	5.0346	7.1575	424.1661	1.6782	21156.8785	0	15.5234	2.8991	4.1955
TCGA-CS-4941_0	1879.5721	1643.8923	862.3188	8.2816	95.2381	1793.9959	4007.5914	66.5977	19.0062	577.2947	71.0835	9081.1146	14.1477	345.7557	5.0207	13.1125
TCGA-CS-4942_1	3515.5709	3452.5952	502.7682	0.692	35.9862	3229.0657	4582.0069	12.8028	13.5398	713.8408	0.692	15760.4602	6.2284	75.4325	0	8.9965
TCGA-CS-4943_1	1656.4578	2407.7332	424.5488	1.6304	4.239	1178.1067	1959.3809	5.5433	3.9325	368.7901	0.6521	21186.7901	4.239	15.3255	3.714	0.9782
TCGA-CS-4944_1	4015.1305	1433.3628	951.7085	0	9.0783	756.525	2560.0807	49.9307	11.8018	268.8186	2.5218	22748.1377	4.0348	110.4527	1.7551	3.0261
TCGA-CS-5390_1	1410.1324	327.5217	99.3154	0	7.3026	503.8795	725.1483	21.9078	7.8174	83.9799	1.0954	21808.0548	3.2862	20.4473	3.5965	6.5723
TCGA-CS-5393_1	4321.162	1067.5812	165.8261	1.6139	13.3145	1560.2179	2206.98	16.9457	3.6554	576.5584	0.8069	22690.9381	0	16.1388	0	1.2104
TCGA-CS-5394_1	549.013	252.5928	374.0381	2.3419	4.0147	475.7444	360.3212	2.3419	15.915	50.184	0	20998.9562	0	3.3456	1.9772	6.3566
TCGA-CS-5395_0	852.3306	430.9786	136.6247	0.7405	8.8862	739.0321	1062.266	8.8862	15.9507	224.3755	1.1108	13770.2151	1.8513	12.2185	3.8507	3.7026
TCGA-CS-5396_1	692.9979	346.9591	5314.518	0.3068	12.5777	614.4643	2115.1929	8.5896	6.8011	110.4379	1.5339	43501.3881	3.3745	42.0278	4.0126	7.0558
