	BRCA1	VISTA	CD14	CD163	CD19	PDL1	CD4	CD68	CD8	EGFR	HER2	FOXP3	CD11b	CD20	CD56	PD1	S100A4	SMA	TIGIT	TP53
TCGA-HT-8018_1	0.108383194	0.396120645	0.212236674	0.044534978	0.026440351	0.090115244	0.178968358	0.190790646	0.163629819	0.009713776	0.154423284	0.075096887	0.228324238	0.006031747	0.309815369	0.091962103	0.158175451	0.104924407	0.062896577	0.109965605
TCGA-CS-6665_1	0.203591797	0.573908597	0.388069016	0.00579992	0.026106565	0.048838478	0.397406517	0.318267344	0.079557519	0.002147113	0.1402533	0.036672771	0.532511135	0.0030561	0.45708355	0.050383037	0.092270274	0.397468107	0.026556809	0.213401188
TCGA-FG-A4MX_1	0.144370507	0.166884285	0.078262659	0.003805651	0	0	0.099956964	0.059166856	0.010100453	0.004077188	0.168223958	0.117941067	0.101311761	0.001005909	0.319403093	0.085287451	0.012837742	0.217483554	0.020978933	0.234955793
TCGA-HW-7489_1	0.085618459	0.362972183	0.052468759	0.006463119	0.004470166	0.052814435	0.083788223	0.065460527	0.063050829	0.011957897	0.142521649	0.065149784	0.161000171	0.001046586	0.37754341	0	0.013912864	0.483141429	0.009094475	0.139827921
TCGA-HW-7495_1	0.130924582	0.23833684	0.021786509	0.001058792	0.00738951	0.045108625	0.040362764	0.041037857	0.039890258	0.01813073	0.117542148	0.046772413	0.072886332	0	0.502889891	0.005433021	0.004497664	0.283089051	0.138310204	0.1098928
TCGA-HT-7879_1	0.135977418	0.271209543	0.068345144	0.003659426	0.0170263	0.027660677	0.153561264	0.141983135	0.011674515	0.018488632	0.147348761	0.079031535	0.271199127	0.000332231	0.387944646	0.002347348	0.00653592	0.388834637	0.02424793	0.116267514
TCGA-HT-7478_1	0.123045489	0.450901964	0.272249032	0.008651857	0.015361863	0.075192797	0.34729332	0.387635754	0.089995822	0.014541556	0.11748662	0.029413631	0.560084498	0.005137951	0.294381567	0.116166121	0.102910357	0.130358744	0.057148409	0.279895653
TCGA-HT-8563_1	0.206588818	0.39349944	0.642501946	0.917489805	0.028258202	0.689579201	0.800239135	1	0.27367313	0.00867299	0.053007419	0.217532562	1	0.004071427	0.349964115	0.261291834	0.229127254	0.138290884	0.187508652	0.177877401
TCGA-DU-7009_1	0.176663105	0.112698206	0.022338549	0.000937958	0.001928898	0.030764844	0.046450933	0.03758665	0.027205715	0.094807315	0.158741535	0.104263889	0.056003719	0.000903114	0.553280795	0.004254391	0.004802566	0.354118765	0.006278375	0.308017981
TCGA-DU-8164_1	0.143557693	0.07378785	0.021254394	0.002852564	0.005370105	0.047589	0.040251787	0.039327738	0.01917126	0.041409094	0.185841423	0.11338771	0.048667339	0.000558861	0.514058258	0	0.002674432	0.158700496	0.013110984	0.278625701
