	R132H	WT	FC	logfc	pvalue
EGFR	0.028461948	0.109948305	0.25886664	-1.949719036	1.75151E-10
S100A4	0.033478683	0.112102858	0.298642548	-1.743508372	0.102308573
CD8	0.039251518	0.097157683	0.403998085	-1.307579642	0.418940027
HER2	0.14073457	0.329478596	0.427143286	-1.22720799	0.817079734
PDL1	0.060725018	0.141883539	0.427991985	-1.224344314	0.65409206
PD1	0.037003381	0.069284592	0.534078065	-0.904877461	5.28038E-06
BRCA1	0.175902156	0.294714755	0.596855612	-0.74454613	0.265486686
CD68	0.135230399	0.182917171	0.739298548	-0.435771015	0.01803966
SMA	0.171967918	0.221296684	0.777092161	-0.363842387	1.9187E-06
CD19	0.014238974	0.018212936	0.78180553	-0.355118306	1.83261E-09
CD11b	0.203020899	0.257775921	0.787586749	-0.344489256	7.26752E-25
FOXP3	0.07449784	0.093695556	0.795105372	-0.330782027	0.117259186
CD14	0.110239758	0.127099861	0.867347586	-0.205317832	0.02702236
CD4	0.141712111	0.162929144	0.869777548	-0.201281627	0.738089195
CD163	0.028365867	0.031626852	0.89689188	-0.156994016	1.34601E-19
TP53	0.210726782	0.200698178	1.049968583	0.07034616	0.024204617
TIGIT	0.055577879	0.051480265	1.079595817	0.110491292	2.61546E-10
VISTA	0.26832931	0.232378397	1.154708497	0.207528693	0.033485884
CD56	0.463531375	0.3012394	1.538747504	0.621756516	0.761339276
CD20	0.007204054	0.004269171	1.68745984	0.754853168	0.51365172
