NAME	city	long	lat
黑龙江省	哈尔滨	126.63	45.75
内蒙古自治区	呼和浩特	111.65	40.82
新疆维吾尔自治区	乌鲁木齐	87.68	43.77
吉林省	长春	125.35	43.88
辽宁省	沈阳	123.38	41.8
甘肃省	兰州	103.73	36.03
河北省	石家庄	114.48	38.03
北京市	北京	116.46	39.92
山西省	太原	112.53	37.87
天津市	天津	117.2	39.13
陕西省	西安	108.95	34.27
宁夏回族自治区  	银川	106.27	38.47
青海省	西宁	101.74	36.56
山东省	济南	117	36.65
西藏自治区	拉萨	91.11	29.97
河南省	郑州	113.65	34.76
江苏省	南京	118.78	32.04
安徽省	合肥	117.27	31.86
四川省	成都	104.06	30.67
湖北省	武汉	114.31	30.52
重庆市	重庆	106.54	29.59
上海市	上海	121.48	31.22
浙江省	杭州	120.19	30.26
湖南省	长沙	113	28.21
江西省	南昌	115.89	28.68
云南省	昆明	102.73	25.04
贵州省	贵阳	106.71	26.57
福建省	福州	119.3	26.08
广西壮族自治区	南宁	108.33	22.84
台湾省	台北	120.19	23.16
广东省	广州	113.23	23.16
香港特别行政区  	香港	114.1	22.2
海南省	海口	110.35	20.02
澳门特别行政区  	澳门	116.65	22.3
