TF_uniq	Origin
BCL3	ENCODE
BHLHE40	ENCODE
BRCA1	ENCODE
BRF1	ENCODE
BRF2	ENCODE
CCNT2	ENCODE
CTBP2	ENCODE
EP300	ENCODE
GTF2B	ENCODE
GTF3C2	ENCODE
HDAC2	ENCODE
HDAC8	ENCODE
HMGN3	ENCODE
POLR2A	ENCODE
POLR3A	ENCODE
POLR3G	ENCODE
PPARGC1A	ENCODE
RAD21	ENCODE
RDBP	ENCODE
SIN3A	ENCODE
SIRT6	ENCODE
SMARCA4	ENCODE
SMARCB1	ENCODE
SMC3	ENCODE
TAF1	ENCODE
TAF7	ENCODE
TBP	ENCODE
TRIM28	ENCODE
WRNIP1	ENCODE
ATF3	ENCODE
BATF	ENCODE
BCLAF1	ENCODE
BCL11A	ENCODE
BDP1	ENCODE
CEBPB	ENCODE
CHD2	ENCODE
CTCF	ENCODE
CTCFL	ENCODE
EBF1	ENCODE
EGR1	ENCODE
ELF1	ENCODE
ELK4	ENCODE
ESRRA	ENCODE
ESR1	ENCODE
ETS1	ENCODE
E2F1	ENCODE
E2F4	ENCODE
E2F6	ENCODE
FOS	ENCODE
FOSL1	ENCODE
FOSL2	ENCODE
FOXA1	ENCODE
FOXA2	ENCODE
GABPA	ENCODE
GATA1	ENCODE
GATA2	ENCODE
GATA3	ENCODE
GTF2F1	ENCODE
HNF4A	ENCODE
HNF4G	ENCODE
HSF1	ENCODE
IRF1	ENCODE
IRF3	ENCODE
IRF4	ENCODE
JUN	ENCODE
JUNB	ENCODE
JUND	ENCODE
MAFF	ENCODE
MAFK	ENCODE
MAX	ENCODE
MEF2A	ENCODE
MEF2C	ENCODE
MXI1	ENCODE
MYC	ENCODE
NANOG	ENCODE
NFE2	ENCODE
NFKB1	ENCODE
NFYA	ENCODE
NFYB	ENCODE
NRF1	ENCODE
NR2C2	ENCODE
NR3C1	ENCODE
PAX5	ENCODE
PBX3	ENCODE
POU2F2	ENCODE
POU5F1	ENCODE
PRDM1	ENCODE
REST	ENCODE
RFX5	ENCODE
RXRA	ENCODE
SETDB1	ENCODE
SIX5	ENCODE
SMARCC1	ENCODE
SMARCC2	ENCODE
SPI1	ENCODE
SP1	ENCODE
SP2	ENCODE
SREBF1	ENCODE
SRF	ENCODE
STAT1	ENCODE
STAT2	ENCODE
STAT3	ENCODE
SUZ12	ENCODE
TAL1	ENCODE
TCF7L2	ENCODE
TCF12	ENCODE
TFAP2A	ENCODE
TFAP2C	ENCODE
THAP1	ENCODE
USF1	ENCODE
USF2	ENCODE
YY1	ENCODE
ZBTB7A	ENCODE
ZBTB33	ENCODE
ZEB1	ENCODE
ZNF143	ENCODE
ZNF263	ENCODE
ZNF274	ENCODE
ZZZ3	ENCODE
ARX	nature
HOXA11	nature
SOX8	nature
ZFX	nature
DLX6	nature
ETV1	nature
PAX6	nature
TEAD3	nature
E2F2	nature
TFAP2B	nature
TFAP2D	nature
NFIX	nature
PAX7	nature
MLXIPL	nature
ETV7	nature
ZNF200	nature
HIVEP2	nature
NR1H4	nature
ISL1	nature
SNAI2	nature
RUNX3	nature
HSF2	nature
NR1H3	nature
ARNTL2	nature
NR2E3	nature
HOXC8	nature
SOX30	nature
BARX2	nature
ZIC2	nature
NFE2L3	nature
ALX4	nature
FOXC1	nature
MXD1	nature
CSDA	nature
GSC2	nature
DLX3	nature
DMRT3	nature
MEF2B	nature
POU1F1	nature
ZNF76	nature
FOXJ2	nature
YBX1	nature
NFYC	nature
KLF6	nature
ZFY	nature
CBFB	nature
TFE3	nature
PITX1	nature
RORA	nature
HES2	nature
MNT	nature
TCF3	nature
NFATC3	nature
TP63	nature
TBX21	nature
GLI2	nature
TEAD2	nature
ZNF37A	nature
PAX2	nature
RARB	nature
NFKB2	nature
HOXA9	nature
TP73	nature
CIC	nature
RFX3	nature
TCF7	nature
PGR	nature
NFE2L1	nature
GRHL2	nature
NFX1	nature
RFX2	nature
TBX5	nature
RCOR1	nature
TFAP4	nature
ZNF10	nature
POU4F3	nature
CEBPE	nature
CREM	nature
HIVEP1	nature
CDC5L	nature
MZF1	nature
SOX10	nature
XBP1	nature
SIX4	nature
HIF1A	nature
NFATC4	nature
VSX1	nature
MYBL2	nature
NFATC2	nature
TCFL5	nature
GMEB2	nature
ELF4	nature
KLF8	nature
KLF5	nature
TSC22D1	nature
HSF4	nature
NFAT5	nature
ZNF174	nature
SALL1	nature
MAZ	nature
TRPS1	nature
RELB	nature
LYL1	nature
CRX	nature
MEIS3	nature
ZNF175	nature
DBP	nature
KLF1	nature
ETV2	nature
ZNF14	nature
ERF	nature
HBP1	nature
SP4	nature
DLX5	nature
TFEC	nature
HOXA1	nature
HOXA2	nature
HOXA3	nature
HOXA5	nature
HOXA6	nature
HOXA13	nature
PAX4	nature
EZH2	nature
MEOX2	nature
POU6F2	nature
GLI3	nature
LHX2	nature
LHX6	nature
CREB3	nature
LHX3	nature
TLX1	nature
PITX3	nature
EBF3	nature
TFAM	nature
UBTF	nature
HOXB6	nature
HNF1B	nature
MLX	nature
EZH1	nature
DLX4	nature
FOXN1	nature
PHOX2B	nature
ELF2	nature
WHSC1	nature
SOX6	nature
PRDM4	nature
MYF6	nature
MYF5	nature
GLI1	nature
ELK3	nature
FOXM1	nature
CUX2	nature
CREBL2	nature
VDR	nature
PPARD	nature
BACH2	nature
ZNF451	nature
E2F3	nature
NR2E1	nature
TFEB	nature
HAND1	nature
IRX4	nature
SMAD5	nature
CDX1	nature
BCL6	nature
TFDP2	nature
HES1	nature
FOXP1	nature
TFCP2L1	nature
TLX2	nature
OTX1	nature
ID2	nature
CEBPZ	nature
DLX2	nature
ATF2	nature
EPAS1	nature
VAX2	nature
NFE2L2	nature
PRRX1	nature
ASH1L	nature
MEF2D	nature
PRDM2	nature
ZBTB17	nature
TFAP2E	nature
NR5A2	nature
ETV3	nature
ID3	nature
IRF6	nature
PROX1	nature
ATF6	nature
CREB1	nature
PLAGL1	nature
MYB	nature
TCF21	nature
KLF12	nature
SATB2	nature
KLF9	nature
NR4A3	nature
ONECUT2	nature
PROX2	nature
VSX2	nature
ESRRB	nature
ZNF410	nature
NKX2-3	nature
HOXB8	nature
HOXB5	nature
HOXB7	nature
HOXB3	nature
HOXB1	nature
MSX2	nature
SMAD9	nature
NR2C1	nature
TBX2	nature
TBX4	nature
TSHZ3	nature
LHX4	nature
MYOG	nature
ZNF205	nature
ZNF644	nature
HOXA7	nature
TWIST1	nature
NEUROG3	nature
EGR2	nature
ATF1	nature
NR4A1	nature
HOXC13	nature
HOXC11	nature
HOXC12	nature
MXD4	nature
ZNFX1	nature
SNAI1	nature
RBPJL	nature
HIF3A	nature
TRERF1	nature
SPDEF	nature
SOX4	nature
RREB1	nature
RUNX2	nature
GCM2	nature
SOX21	nature
SOX9	nature
BARHL1	nature
BHLHB4	nature
PAX8	nature
FOSB	nature
PAX1	nature
TCF15	nature
ID1	nature
PLAGL2	nature
THRA	nature
NR1D1	nature
STAT5A	nature
DACH2	nature
ZNF384	nature
ELK1	nature
SIX1	nature
PRDM7	nature
HIVEP3	nature
BCL11B	nature
KLF2	nature
ATF4	nature
FOXP2	nature
IRF5	nature
HOXD1	nature
HOXD3	nature
HOXD9	nature
HOXD10	nature
HOXD11	nature
HOXD13	nature
MYOD1	nature
SOX15	nature
NRL	nature
KLF16	nature
GATA5	nature
NPAS1	nature
ZNF236	nature
NFATC1	nature
CDX4	nature
NR1H2	nature
BARX1	nature
RARA	nature
RFX1	nature
PPARG	nature
E2F5	nature
ARNTL	nature
DPF2	nature
GSC	nature
BHLHB2	nature
MEIS2	nature
GRHL1	nature
MYCN	nature
RAX	nature
SOX5	nature
SOX3	nature
CLOCK	nature
HNF1A	nature
TBX3	nature
DMTF1	nature
EHF	nature
ELF5	nature
TFCP2	nature
HEY2	nature
PAX3	nature
NKX2-1	nature
GATA4	nature
SKIL	nature
HLX	nature
KLF4	nature
NR5A1	nature
LMX1B	nature
DMRT1	nature
GCM1	nature
CREBZF	nature
POU2F3	nature
SIX3	nature
LBX1	nature
STAT4	nature
PRDM5	nature
LEF1	nature
ETV6	nature
ASCL1	nature
PDX1	nature
ESR2	nature
ZFHX3	nature
IRF8	nature
GATA6	nature
TP53	nature
FOXK2	nature
SMAD4	nature
NFIC	nature
SPIB	nature
ZNF593	nature
BARHL2	nature
RXRG	nature
TBX19	nature
POU2F1	nature
MAEL	nature
NR1I3	nature
LHX9	nature
RORC	nature
ARNT	nature
CREB3L4	nature
SOX13	nature
MEIS1	nature
DLX1	nature
NR1I2	nature
RBAK	nature
CREB5	nature
ZNF157	nature
ZNF182	nature
ST18	nature
ZNF7	nature
NFIB	nature
NR6A1	nature
VAX1	nature
NKX6-2	nature
ZNF215	nature
TBX6	nature
THRB	nature
POU4F2	nature
NR3C2	nature
FLI1	nature
POU4F1	nature
TCF7L1	nature
HHEX	nature
ZIC1	nature
NR4A2	nature
UBP1	nature
TGIF2LX	nature
HOXA10	nature
JAZF1	nature
CEBPG	nature
KLF10	nature
ALX3	nature
BACH1	nature
ZNF19	nature
TSC22D3	nature
ERG	nature
ETS2	nature
CREB3L1	nature
SKI	nature
GRHL3	nature
HOXB13	nature
RUNX1	nature
IRX6	nature
ISL2	nature
ZNF230	nature
NR2F6	nature
PKNOX1	nature
AIRE	nature
ZBTB7B	nature
FOXH1	nature
IKZF3	nature
ZNF385A	nature
BCL6B	nature
GMEB1	nature
NFIA	nature
ZNF281	nature
LMX1A	nature
REL	nature
NEUROD1	nature
ZNF2	nature
MSX1	nature
ELF3	nature
FEV	nature
EOMES	nature
NKX6-1	nature
HESX1	nature
ZNF148	nature
KLF15	nature
HEYL	nature
PITX2	nature
HAND2	nature
TLX3	nature
T	nature
NEUROD6	nature
ZNF12	nature
HEY1	nature
SOX17	nature
ZHX1	nature
PHOX2A	nature
ZNF22	nature
CDX2	nature
OTX2	nature
SOHLH1	nature
DACH1	nature
SNAPC4	nature
GFI1B	nature
SALL2	nature
SPIC	nature
ZNF202	nature
ZNF3	nature
STAT6	nature
SMAD3	nature
NKX3-1	nature
TEF	nature
PRRX2	nature
ZNF91	nature
ZNF23	nature
ZNF180	nature
ZNF146	nature
ZNF444	nature
RCOR2	nature
TBX10	nature
E4F1	nature
BATF2	nature
RBPJ	nature
PTF1A	nature
FOXI1	nature
IRF2	nature
ZNF30	nature
SHOX2	nature
SOX14	nature
AR	nature
ATF5	nature
NR0B1	nature
ZEB2	nature
BNC1	nature
HIC2	nature
ZNF32	nature
GSX1	nature
ONECUT1	nature
KLF13	nature
ZFPM2	nature
ZNF35	nature
HOXD4	nature
HOXD12	nature
ZNF282	nature
SMAD1	nature
EMX2	nature
SP7	nature
NPAS2	nature
IRX1	nature
IRX2	nature
SIX2	nature
FOXA3	nature
SCRT1	nature
ZNF16	nature
ATF7	nature
HOXB9	nature
FOXN2	nature
ZNF160	nature
ZNF350	nature
SOX7	nature
NEUROD2	nature
ETV5	nature
FOXB1	nature
KLF11	nature
ATOH1	nature
MIZF	nature
ARNT2	nature
ZNF24	nature
HOXC5	nature
RARG	nature
SP3	nature
RELA	nature
DMRT2	nature
INSM1	nature
ZNF622	nature
STAT5B	nature
HOXB2	nature
ZBTB4	nature
ZHX3	nature
GLIS1	nature
NR1D2	nature
DDIT3	nature
PROP1	nature
SMAD2	nature
ZNF25	nature
MLXIP	nature
NR2F1	nature
ETV4	nature
HOXD8	nature
ASCL3	nature
HSF5	nature
FOXG1	nature
ZSCAN2	nature
TGIF2LY	nature
SOX11	nature
DEAF1	nature
ZBTB38	nature
HIC1	nature
TGIF1	nature
IRX3	nature
SOX12	nature
ZNF260	nature
LCORL	nature
MAF	nature
ZHX2	nature
MSC	nature
FOXE1	nature
HES7	nature
EGR3	nature
ZNF238	nature
ZFPM1	nature
ATOH7	nature
ALX1	nature
BHLHB8	nature
GSX2	nature
HOXC9	nature
HOXC10	nature
BHLHB5	nature
ZNF322A	nature
SOX2	nature
PLAG1	nature
NEUROG1	nature
ZNF708	nature
CREB3L2	nature
SATB1	nature
HOXB4	nature
MAFA	nature
SOX1	nature
NKX2-5	nature
FIGLA	nature
ASCL2	nature
TBX1	nature
OLIG1	nature
POU6F1	nature
SIX6	nature
FOXO4	nature
POU3F2	nature
SRY	nature
WT1	nature
MIXL1	nature
IRF7	nature
NR2F2	nature
PBX1	nature
POU3F1	nature
MYBL1	nature
IKZF1	nature
ZNF267	nature
SHOX	nature
ZNF197	nature
ZNF396	nature
ZNF395	nature
PPARA	nature
TEAD1	nature
MITF	nature
FOXD3	nature
ASCL4	nature
MESP2	nature
LBXCOR1	nature
MTF1	nature
ZNF322B	nature
SP6	nature
MYT1	nature
LCOR	nature
ESRRG	nature
TCF4	nature
POU3F4	nature
ZNF398	nature
MAFG	nature
HOXA4	nature
HOXC6	nature
ZNF181	nature
ZNF44	nature
TEAD4	nature
ZNF273	nature
ZFP161	nature
MIER1	nature
TFDP1	nature
HOXC4	nature
ZNF26	nature
ZNF43	nature
ZNF28	nature
YY2	nature
PAX9	nature
SREBF2	nature
POU3F3	nature
RORB	nature
SOX18	nature
MYCL2	nature
MAFB	nature
RXRB	nature
PBX2	nature
SP5	nature
ZNF551	nature
ZBTB48	nature
OLIG2	nature
ZNF254	nature
MXD3	nature
CREBL1	nature
IRF9	nature
NOTO	nature
ZBED1	nature
HMX1	nature
MEOX1	nature
ZNF195	nature
ZNF207	nature
DPF1	nature
WIZ	nature
ZBTB32	nature
ZNF221	nature
ZNF582	nature
ZFP64	nature
ZNF839	nature
PHF20	nature
IKZF2	nature
FOXP3	nature
FOXN3	nature
ZNF280C	nature
CREB3L3	nature
PRDM6	nature
ZFP112	nature
ZNF275	nature
ZBTB11	nature
ZFAT	nature
ZXDC	nature
ZNF532	nature
ZNF510	nature
ZNF93	nature
ZNF324	nature
ZNF671	nature
ZNF416	nature
ZNF586	nature
ZNF446	nature
ZNF8	nature
ZNF264	nature
MYNN	nature
EVI1	nature
ZNF213	nature
ZNF343	nature
EBF4	nature
LHX5	nature
ZNF302	nature
ZBTB25	nature
ZFHX4	nature
TBX15	nature
IKZF5	nature
ZNF184	nature
PATZ1	nature
ZBED4	nature
SALL4	nature
ADNP	nature
ZNF516	nature
ADNP2	nature
RHOXF1	nature
ZNF629	nature
ZNF423	nature
ZNF500	nature
FOXF1	nature
ZNF90	nature
ZNF550	nature
ZNF419	nature
PBX4	nature
ZNF574	nature
ZNF85	nature
EVX1	nature
ZKSCAN1	nature
NOBOX	nature
GLIS3	nature
CAMTA2	nature
HLF	nature
NKX3-2	nature
KLF3	nature
DBX1	nature
ZBTB16	nature
RFX4	nature
PRDM13	nature
ZBTB24	nature
TBX18	nature
BBX	nature
